,date,id,images,last_seen,location,name,price,url
12,2020-08-12 15:30,7176326288,https://images.craigslist.org/00505_j6uNpo8okAU_0CI0t2_300x300.jpg,Fri Aug 14 03:18:06 2020,San Diego,Desk Chair,20.0,https://sandiego.craigslist.org/nsd/hsh/d/san-diego-desk-chair/7176326288.html
13,2020-08-12 14:50,7173117139,"https://images.craigslist.org/00p0p_dxUAGVJDdJn_0ak07K_300x300.jpg, https://images.craigslist.org/00303_7XwmUufQLEK_0ak07K_300x300.jpg, https://images.craigslist.org/00m0m_3MTRXYMkchc_0ak07K_300x300.jpg, https://images.craigslist.org/00M0M_eynBbH2LkoI_0ak07K_300x300.jpg",Fri Aug 14 03:18:06 2020,San Diego,Chair & Desk,130.0,https://sandiego.craigslist.org/csd/fuo/d/san-diego-chair-desk/7173117139.html
14,2020-08-12 13:58,7176271252,"https://images.craigslist.org/01717_3p8SU1shiJN_0CI0t2_300x300.jpg, https://images.craigslist.org/00N0N_hpV9vSnfbdn_0CI0t2_300x300.jpg, https://images.craigslist.org/00P0P_3aw6VBgxts0_0CI0t2_300x300.jpg, https://images.craigslist.org/00p0p_icamnlUGLud_0CI0t2_300x300.jpg",Fri Aug 14 03:18:06 2020,"Temecula, CA","Desk Chair, small",10.0,https://sandiego.craigslist.org/nsd/fuo/d/temecula-desk-chair-small/7176271252.html
15,2020-08-12 13:58,7176271483,"https://images.craigslist.org/01717_3p8SU1shiJN_0CI0t2_300x300.jpg, https://images.craigslist.org/00N0N_hpV9vSnfbdn_0CI0t2_300x300.jpg, https://images.craigslist.org/00P0P_3aw6VBgxts0_0CI0t2_300x300.jpg, https://images.craigslist.org/00p0p_icamnlUGLud_0CI0t2_300x300.jpg",Fri Aug 14 03:18:06 2020,"Temecula, CA","Desk Chair, small",10.0,https://sandiego.craigslist.org/nsd/fuo/d/temecula-desk-chair-small/7176271483.html
16,2020-08-12 13:59,7176271705,"https://images.craigslist.org/01717_3p8SU1shiJN_0CI0t2_300x300.jpg, https://images.craigslist.org/00N0N_hpV9vSnfbdn_0CI0t2_300x300.jpg, https://images.craigslist.org/00P0P_3aw6VBgxts0_0CI0t2_300x300.jpg, https://images.craigslist.org/00p0p_icamnlUGLud_0CI0t2_300x300.jpg",Fri Aug 14 03:18:06 2020,"Temecula, CA","Desk Chair, small",10.0,https://sandiego.craigslist.org/nsd/fuo/d/temecula-desk-chair-small/7176271705.html
17,2020-08-12 13:38,7176185281,"https://images.craigslist.org/00h0h_HxGv3vCd96_0CI0t2_300x300.jpg, https://images.craigslist.org/00H0H_lWWjYmS1HMA_0CI0t2_300x300.jpg, https://images.craigslist.org/00F0F_9HuK313KAGr_0CI0t2_300x300.jpg, https://images.craigslist.org/00f0f_hrcuuO9PsUc_0CI0t2_300x300.jpg, https://images.craigslist.org/00K0K_4wtR4LtgRKh_0CI0t2_300x300.jpg, https://images.craigslist.org/00e0e_laLCDpbYrv1_0CI0t2_300x300.jpg, https://images.craigslist.org/00z0z_1CmkwCjQNim_0lM0t2_300x300.jpg, https://images.craigslist.org/00i0i_2t4brgwMWmJ_0lM0t2_300x300.jpg, https://images.craigslist.org/00S0S_bVvo7xgraYh_0lM0t2_300x300.jpg, https://images.craigslist.org/00202_3xYRrOw9fow_0lM0t2_300x300.jpg",Fri Aug 14 03:18:06 2020,North Park,Reversible Office Desk w Chair & Expandable Kitchen Table,1.0,https://sandiego.craigslist.org/csd/fuo/d/san-diego-reversible-office-desk-chair/7176185281.html
18,2020-08-12 12:49,7173138685,"https://images.craigslist.org/01010_j4tYiKsiVd8_0ww0oo_300x300.jpg, https://images.craigslist.org/00Q0Q_ay5IIpZDTPU_0ww0oo_300x300.jpg",Fri Aug 14 03:18:06 2020,Encinitas,Desk and Chair,175.0,https://sandiego.craigslist.org/nsd/fuo/d/encinitas-desk-and-chair/7173138685.html
19,2020-08-12 11:16,7176155187,,Fri Aug 14 03:18:06 2020,La Mesa,Desk chair,49.0,https://sandiego.craigslist.org/esd/fuo/d/la-mesa-desk-chair/7176155187.html
20,2020-08-12 10:51,7167783090,"https://images.craigslist.org/00101_4FcLbrHOHjt_0CI0t2_300x300.jpg, https://images.craigslist.org/00A0A_iPhrHFzSOZs_0CI0t2_300x300.jpg, https://images.craigslist.org/00v0v_e2XdNvvva6F_0CI0t2_300x300.jpg",Fri Aug 14 03:18:06 2020,El Cajon,Leather desk chair,75.0,https://sandiego.craigslist.org/csd/fuo/d/el-cajon-leather-desk-chair/7167783090.html
21,2020-08-12 10:44,7176133202,"https://images.craigslist.org/00X0X_bI2phldqpt_300x300.jpg, https://images.craigslist.org/01313_d4Bi6IJ0LYl_300x300.jpg, https://images.craigslist.org/01616_apCd8j1IrB9_300x300.jpg, https://images.craigslist.org/00q0q_buoEFexI8NK_300x300.jpg, https://images.craigslist.org/00w0w_6L1GLuAniP2_300x300.jpg, https://images.craigslist.org/00s0s_2LxGNZoRZW9_300x300.jpg, https://images.craigslist.org/00d0d_b2UyFOfWE1I_300x300.jpg, https://images.craigslist.org/00V0V_gghB3nrsLL_300x300.jpg, https://images.craigslist.org/00F0F_fXkaAbnSH7y_300x300.jpg, https://images.craigslist.org/00z0z_fuUjRFo4svR_300x300.jpg, https://images.craigslist.org/00h0h_8dXUpeTZKQs_300x300.jpg, https://images.craigslist.org/00U0U_7KS8csZYeMt_300x300.jpg, https://images.craigslist.org/01212_ktkg6yjr4Cr_300x300.jpg, https://images.craigslist.org/01414_5aR9VuJ2ZBZ_300x300.jpg, https://images.craigslist.org/00s0s_bbRlIpPXMdx_300x300.jpg, https://images.craigslist.org/00909_lRoYG1MH49g_300x300.jpg, https://images.craigslist.org/00q0q_7qsbBGG9CRF_300x300.jpg, https://images.craigslist.org/00808_xvXUTKAPrc_300x300.jpg, https://images.craigslist.org/00o0o_5R0MVZe2qTY_300x300.jpg, https://images.craigslist.org/00B0B_jBBD4aUKi5A_300x300.jpg, https://images.craigslist.org/00p0p_jDFYszkZqCI_300x300.jpg, https://images.craigslist.org/01515_a3UQD3Bkd5M_300x300.jpg, https://images.craigslist.org/00l0l_Y7QKgRn6Mf_300x300.jpg, https://images.craigslist.org/00x0x_kmwrrlo4KHc_300x300.jpg",Fri Aug 14 03:18:06 2020,San Diego,"Kids Bunk Bed, Theme Bed, Loft Bed, Platform Bed, and Kids Desk/Chair",0.0,https://sandiego.craigslist.org/csd/fud/d/san-diego-kids-bunk-bed-theme-bed-loft/7176133202.html
22,2020-08-11 15:54,7159771293,https://images.craigslist.org/00C0C_1qmdZENIMag_300x300.jpg,Fri Aug 14 03:18:06 2020,Claiermont San Diego,Office Chair/Desk Chair,75.0,https://sandiego.craigslist.org/csd/fuo/d/san-diego-office-chair-desk-chair/7159771293.html
23,2020-08-11 15:53,7161229624,https://images.craigslist.org/00S0S_lD1MLXgfaFs_0lM0t2_300x300.jpg,Fri Aug 14 03:18:06 2020,Claiermont,Desk Chair/Office Chair,25.0,https://sandiego.craigslist.org/csd/fuo/d/san-diego-desk-chair-office-chair/7161229624.html
24,2020-08-11 13:35,7175640801,https://images.craigslist.org/00a0a_8PT1YcpNUis_0ak07K_300x300.jpg,Fri Aug 14 03:18:06 2020,SAN DIEGO,DESK CHAIR LEATHER DARK GREEN,150.0,https://sandiego.craigslist.org/nsd/fuo/d/san-diego-desk-chair-leather-dark-green/7175640801.html
25,2020-08-11 07:54,7173863386,"https://images.craigslist.org/00n0n_kQdwnUmBxDI_0e70t2_300x300.jpg, https://images.craigslist.org/01414_fGBrnwL837t_0e70t2_300x300.jpg",Fri Aug 14 03:18:06 2020,Carlsbad,Office Desk Chair,60.0,https://sandiego.craigslist.org/nsd/fuo/d/carlsbad-office-desk-chair/7173863386.html
26,2020-08-11 07:25,7175367938,"https://images.craigslist.org/00a0a_deR3HO1ls2R_0uY0jm_300x300.jpg, https://images.craigslist.org/00707_3Kx5j0kGDGE_0uY0jm_300x300.jpg",Fri Aug 14 03:18:06 2020,San Diego,Suede couch & new desk chair,200.0,https://sandiego.craigslist.org/csd/fuo/d/san-diego-suede-couch-new-desk-chair/7175367938.html
27,2020-08-11 07:03,7175353471,"https://images.craigslist.org/00t0t_8auc4kmGOEp_0CI0t2_300x300.jpg, https://images.craigslist.org/00j0j_jphAzVh6nr5_0CI0t2_300x300.jpg",Fri Aug 14 03:18:06 2020,Del Sur,Office Desk/Chair,0.0,https://sandiego.craigslist.org/nsd/zip/d/san-diego-office-desk-chair/7175353471.html
28,2020-08-11 06:59,7173395325,"https://images.craigslist.org/01111_l7KFGeTDM5y_0t20CI_300x300.jpg, https://images.craigslist.org/00e0e_5AqMPHjuYqn_0t20CI_300x300.jpg, https://images.craigslist.org/00x0x_lEv7hp2PwEp_0t20CI_300x300.jpg",Fri Aug 14 03:18:06 2020,San Diego,Computed/desk/office chair,55.0,https://sandiego.craigslist.org/ssd/fuo/d/san-diego-computed-desk-office-chair/7173395325.html
29,2020-08-10 17:58,7164838248,"https://images.craigslist.org/00E0E_b1lRZU2tgpa_300x300.jpg, https://images.craigslist.org/00t0t_6MMo5X9w0zx_300x300.jpg, https://images.craigslist.org/00C0C_kxEAQgtV3hx_300x300.jpg, https://images.craigslist.org/00q0q_cBdZQXD74a7_300x300.jpg, https://images.craigslist.org/00n0n_lthSicfSnpv_300x300.jpg, https://images.craigslist.org/00b0b_6jIKjSwMezo_300x300.jpg, https://images.craigslist.org/00M0M_94ejocWsb9p_300x300.jpg",Fri Aug 14 03:18:06 2020,Scripps Ranch,"Beautiful Dark Wood Desk, Chair and Unique Pulley Lamp",600.0,https://sandiego.craigslist.org/csd/fuo/d/san-diego-beautiful-dark-wood-desk/7164838248.html
30,2020-08-10 16:30,7175123227,https://images.craigslist.org/01515_fx5jrWSFi4D_0CI0t2_300x300.jpg,Fri Aug 14 03:18:06 2020,Del mar,desk/chair,200.0,https://sandiego.craigslist.org/csd/fuo/d/solana-beach-desk-chair/7175123227.html
